CHIP 10000 10000
SOFTMODULE 160
C01_M1 C01_M2 524
C01_M2 C01_M3 642
C01_M3 C01_M4 608
C01_M4 C01_M5 497
C01_M5 C01_M6 448
C01_M6 C01_M7 449
C01_M7 C01_M8 737
C01_M8 C01_M9 620
C01_M9 C01_M0 481
C01_M0 C01_M2 416
C01_M1 C01_M3 410
C01_M0 C01_M4 439
C01_M1 C01_M5 227
C01_M0 C01_M6 250
C01_M1 C01_M7 231
C01_M0 C01_M8 406
C01_M1 C01_M9 373
C02_M0 C02_M1 455
C02_M1 C02_M2 527
C02_M2 C02_M3 498
C02_M3 C02_M4 497
C02_M4 C02_M5 674
C02_M5 C02_M6 629
C02_M6 C02_M7 471
C02_M7 C02_M8 616
C02_M8 C02_M9 493
C02_M9 C02_M0 442
C02_M0 C02_M2 436
C02_M1 C02_M3 327
C02_M0 C02_M4 238
C02_M1 C02_M5 426
C02_M0 C02_M6 481
C02_M1 C02_M7 250
C02_M0 C02_M8 225
C02_M1 C02_M9 476
C03_M0 C03_M1 407
C03_M1 C03_M2 447
C03_M2 C03_M3 785
C03_M3 C03_M4 521
C03_M4 C03_M5 485
C03_M5 C03_M6 608
C03_M6 C03_M7 648
C03_M7 C03_M8 646
C03_M8 C03_M9 509
C03_M9 C03_M0 505
C03_M0 C03_M2 230
C03_M1 C03_M3 284
C03_M0 C03_M4 394
C03_M1 C03_M5 201
C03_M0 C03_M6 399
C03_M1 C03_M7 335
C03_M0 C03_M8 432
C03_M1 C03_M9 346
C10_M0 C10_M1 616
C10_M1 C10_M2 756
C10_M2 C10_M3 774
C10_M3 C10_M4 684
C10_M4 C10_M5 738
C10_M5 C10_M6 767
C10_M6 C10_M7 649
C10_M7 C10_M8 479
C10_M8 C10_M9 497
C10_M9 C10_M0 451
C10_M0 C10_M2 311
C10_M1 C10_M3 229
C10_M0 C10_M4 496
C10_M1 C10_M5 477
C10_M0 C10_M6 231
C10_M1 C10_M7 360
C10_M0 C10_M8 229
C10_M1 C10_M9 225
C11_M0 C11_M1 699
C11_M1 C11_M2 644
C11_M2 C11_M3 657
C11_M3 C11_M4 671
C11_M4 C11_M5 480
C11_M5 C11_M6 429
C11_M6 C11_M7 660
C11_M7 C11_M8 441
C11_M8 C11_M9 495
C11_M9 C11_M0 335
C11_M0 C11_M2 234
C11_M1 C11_M3 320
C11_M0 C11_M4 406
C11_M1 C11_M5 261
C11_M0 C11_M6 491
C11_M1 C11_M7 326
C11_M0 C11_M8 496
C11_M1 C11_M9 220
C12_M0 C12_M1 717
C12_M1 C12_M2 441
C12_M2 C12_M3 614
C12_M3 C12_M4 736
C12_M4 C12_M5 698
C12_M5 C12_M6 689
C12_M6 C12_M7 667
C12_M7 C12_M8 561
C12_M8 C12_M9 533
C12_M9 C12_M0 404
C12_M0 C12_M2 360
C12_M1 C12_M3 322
C12_M0 C12_M4 335
C12_M1 C12_M5 402
C12_M0 C12_M6 267
C12_M1 C12_M7 353
C12_M0 C12_M8 434
C12_M1 C12_M9 361
C13_M0 C13_M1 784
C13_M1 C13_M2 437
C13_M2 C13_M3 404
C13_M3 C13_M4 634
C13_M4 C13_M5 718
C13_M5 C13_M6 688
C13_M6 C13_M7 451
C13_M7 C13_M8 437
C13_M8 C13_M9 675
C13_M9 C13_M0 409
C13_M0 C13_M2 459
C13_M1 C13_M3 335
C13_M0 C13_M4 267
C13_M1 C13_M5 378
C13_M0 C13_M6 235
C13_M1 C13_M7 325
C13_M0 C13_M8 389
C13_M1 C13_M9 345
C20_M0 C20_M1 480
C20_M1 C20_M2 624
C20_M2 C20_M3 678
C20_M3 C20_M4 760
C20_M4 C20_M5 554
C20_M5 C20_M6 713
C20_M6 C20_M7 734
C20_M7 C20_M8 670
C20_M8 C20_M9 404
C20_M9 C20_M0 583
C20_M0 C20_M2 353
C20_M1 C20_M3 253
C20_M0 C20_M4 268
C20_M1 C20_M5 335
C20_M0 C20_M6 259
C20_M1 C20_M7 254
C20_M0 C20_M8 483
C20_M1 C20_M9 279
C21_M0 C21_M1 539
C21_M1 C21_M2 544
C21_M2 C21_M3 709
C21_M3 C21_M4 507
C21_M4 C21_M5 767
C21_M5 C21_M6 575
C21_M6 C21_M7 504
C21_M7 C21_M8 751
C21_M8 C21_M9 724
C21_M9 C21_M0 435
C21_M0 C21_M2 458
C21_M1 C21_M3 450
C21_M0 C21_M4 328
C21_M1 C21_M5 226
C21_M0 C21_M6 247
C21_M1 C21_M7 416
C21_M0 C21_M8 341
C21_M1 C21_M9 222
C22_M0 C22_M1 401
C22_M1 C22_M2 570
C22_M2 C22_M3 794
C22_M3 C22_M4 466
C22_M4 C22_M5 726
C22_M5 C22_M6 534
C22_M6 C22_M7 482
C22_M7 C22_M8 779
C22_M8 C22_M9 626
C22_M9 C22_M0 582
C22_M0 C22_M2 418
C22_M1 C22_M3 487
C22_M0 C22_M4 204
C22_M1 C22_M5 257
C22_M0 C22_M6 238
C22_M1 C22_M7 276
C22_M0 C22_M8 479
C22_M1 C22_M9 218
C23_M0 C23_M1 589
C23_M1 C23_M2 698
C23_M2 C23_M3 682
C23_M3 C23_M4 475
C23_M4 C23_M5 620
C23_M5 C23_M6 465
C23_M6 C23_M7 421
C23_M7 C23_M8 557
C23_M8 C23_M9 586
C23_M9 C23_M0 320
C23_M0 C23_M2 383
C23_M1 C23_M3 307
C23_M0 C23_M4 327
C23_M1 C23_M5 252
C23_M0 C23_M6 381
C23_M1 C23_M7 486
C23_M0 C23_M8 408
C23_M1 C23_M9 279
C30_M0 C30_M1 521
C30_M1 C30_M2 483
C30_M2 C30_M3 490
C30_M3 C30_M4 611
C30_M4 C30_M5 412
C30_M5 C30_M6 491
C30_M6 C30_M7 777
C30_M7 C30_M8 570
C30_M8 C30_M9 800
C30_M9 C30_M0 510
C30_M0 C30_M2 327
C30_M1 C30_M3 336
C30_M0 C30_M4 281
C30_M1 C30_M5 255
C30_M0 C30_M6 395
C30_M1 C30_M7 219
C30_M0 C30_M8 440
C30_M1 C30_M9 313
C31_M0 C31_M1 502
C31_M1 C31_M2 635
C31_M2 C31_M3 579
C31_M3 C31_M4 556
C31_M4 C31_M5 516
C31_M5 C31_M6 514
C31_M6 C31_M7 412
C31_M7 C31_M8 737
C31_M8 C31_M9 498
C31_M9 C31_M0 504
C31_M0 C31_M2 368
C31_M1 C31_M3 342
C31_M0 C31_M4 235
C31_M1 C31_M5 342
C31_M0 C31_M6 379
C31_M1 C31_M7 460
C31_M0 C31_M8 404
C31_M1 C31_M9 474
C32_M0 C32_M1 569
C32_M1 C32_M2 414
C32_M2 C32_M3 459
C32_M3 C32_M4 533
C32_M4 C32_M5 491
C32_M5 C32_M6 697
C32_M6 C32_M7 535
C32_M7 C32_M8 419
C32_M8 C32_M9 455
C32_M9 C32_M0 522
C32_M0 C32_M2 376
C32_M1 C32_M3 360
C32_M0 C32_M4 423
C32_M1 C32_M5 461
C32_M0 C32_M6 259
C32_M1 C32_M7 397
C32_M0 C32_M8 495
C32_M1 C32_M9 297
C33_M0 C33_M1 530
C33_M1 C33_M2 422
C33_M2 C33_M3 762
C33_M3 C33_M4 623
C33_M4 C33_M5 400
C33_M5 C33_M6 666
C33_M6 C33_M7 675
C33_M7 C33_M8 751
C33_M8 C33_M9 768
C33_M9 C33_M0 400
C33_M0 C33_M2 386
C33_M1 C33_M3 420
C33_M0 C33_M4 235
C33_M1 C33_M5 369
C33_M0 C33_M6 360
C33_M1 C33_M7 263
C33_M0 C33_M8 353
C33_M1 C33_M9 459
C00_M4 PAD_B0 506
C00_M6 PAD_B0 656
C00_M5 PAD_B0 451
C00_M8 PAD_B1 515
C00_M2 PAD_B1 640
C00_M3 PAD_B1 494
C00_M2 PAD_B2 580
C00_M4 PAD_B2 300
C00_M6 PAD_B2 455
C00_M4 PAD_L0 596
C00_M3 PAD_L0 610
C00_M6 PAD_L0 635
C00_M5 PAD_L1 526
C00_M7 PAD_L1 645
C00_M8 PAD_L1 409
C00_M8 PAD_L2 637
C00_M7 PAD_L2 343
C00_M2 PAD_L2 445
C01_M8 PAD_B3 684
C01_M5 PAD_B3 420
C01_M1 PAD_B3 644
C01_M4 PAD_B4 375
C01_M3 PAD_B4 312
C01_M8 PAD_B4 323
C01_M3 DSP_0 533
C01_M7 DSP_0 512
C01_M1 DSP_0 622
C02_M9 PAD_B5 553
C02_M3 PAD_B5 504
C02_M6 PAD_B5 424
C02_M2 PAD_B6 698
C02_M0 PAD_B6 517
C02_M1 PAD_B6 412
C02_M2 PAD_B7 325
C02_M8 PAD_B7 585
C02_M7 PAD_B7 427
C02_M1 DSP_1 537
C02_M7 DSP_1 641
C02_M2 DSP_1 571
C03_M8 PAD_B8 613
C03_M5 PAD_B8 668
C03_M7 PAD_B8 558
C03_M6 PAD_B9 381
C03_M8 PAD_B9 680
C03_M7 PAD_B9 543
C03_M7 PAD_R0 626
C03_M4 PAD_R0 441
C03_M3 PAD_R0 692
C03_M8 PAD_R1 440
C03_M7 PAD_R1 525
C03_M3 PAD_R1 339
C03_M4 PAD_R2 471
C03_M3 PAD_R2 463
C03_M9 PAD_R2 576
C10_M1 PAD_L3 418
C10_M2 PAD_L3 496
C10_M8 PAD_L3 655
C10_M2 PAD_L4 512
C10_M3 PAD_L4 508
C10_M1 PAD_L4 469
C11_M8 SRAM_A 331
C11_M7 SRAM_A 405
C11_M6 SRAM_A 515
C12_M6 SRAM_B 544
C12_M0 SRAM_B 303
C12_M9 SRAM_B 480
C13_M4 PAD_R3 575
C13_M6 PAD_R3 682
C13_M8 PAD_R3 676
C13_M8 PAD_R4 412
C13_M3 PAD_R4 439
C13_M7 PAD_R4 523
C20_M7 PAD_L5 472
C20_M0 PAD_L5 642
C20_M6 PAD_L5 647
C20_M6 PAD_L6 365
C20_M2 PAD_L6 618
C20_M7 PAD_L6 573
C20_M0 PAD_L7 342
C20_M6 PAD_L7 629
C20_M9 PAD_L7 519
C21_M2 PLL 325
C21_M7 PLL 433
C21_M9 PLL 494
C22_M5 ROM 467
C22_M3 ROM 472
C22_M7 ROM 689
C23_M6 PAD_R5 429
C23_M4 PAD_R5 341
C23_M9 PAD_R5 540
C23_M0 PAD_R6 479
C23_M8 PAD_R6 414
C23_M9 PAD_R6 632
C23_M1 PAD_R7 426
C23_M0 PAD_R7 402
C23_M8 PAD_R7 310
C30_M9 PAD_T0 364
C30_M2 PAD_T0 542
C30_M3 PAD_T0 642
C30_M1 PAD_T1 658
C30_M3 PAD_T1 431
C30_M7 PAD_T1 692
C30_M5 PAD_T2 698
C30_M2 PAD_T2 383
C30_M1 PAD_T2 459
C30_M1 PAD_L8 594
C30_M0 PAD_L8 646
C30_M4 PAD_L8 492
C30_M6 PAD_L9 603
C30_M3 PAD_L9 653
C30_M1 PAD_L9 621
C31_M3 PAD_T3 650
C31_M1 PAD_T3 607
C31_M4 PAD_T3 361
C31_M9 PAD_T4 572
C31_M0 PAD_T4 519
C31_M5 PAD_T4 638
C31_M5 ADC 306
C31_M1 ADC 515
C31_M9 ADC 550
C32_M1 PAD_T5 625
C32_M6 PAD_T5 535
C32_M5 PAD_T5 662
C32_M2 PAD_T6 675
C32_M6 PAD_T6 567
C32_M9 PAD_T6 633
C32_M4 PAD_T7 538
C32_M8 PAD_T7 523
C32_M7 PAD_T7 674
C32_M9 DAC 425
C32_M4 DAC 344
C32_M5 DAC 442
C33_M7 PAD_T8 591
C33_M3 PAD_T8 612
C33_M9 PAD_T8 642
C33_M6 PAD_T9 553
C33_M5 PAD_T9 466
C33_M0 PAD_T9 393
C33_M7 PAD_R8 432
C33_M3 PAD_R8 474
C33_M5 PAD_R8 443
C33_M9 PAD_R9 564
C33_M4 PAD_R9 397
C33_M0 PAD_R9 343
C00_M0 C01_M0 80
C00_M1 C01_M1 142
C00_M0 C10_M0 102
C00_M1 C10_M1 112
C01_M0 C02_M0 121
C01_M1 C02_M1 147
C01_M0 C11_M0 80
C01_M1 C11_M1 138
C02_M0 C03_M0 110
C02_M1 C03_M1 132
C02_M0 C12_M0 141
C02_M1 C12_M1 112
C03_M0 C13_M0 107
C03_M1 C13_M1 52
C10_M0 C11_M0 61
C10_M1 C11_M1 87
C10_M0 C20_M0 78
C10_M1 C20_M1 101
C11_M0 C12_M0 138
C11_M1 C12_M1 81
C11_M0 C21_M0 89
C11_M1 C21_M1 134
C12_M0 C13_M0 124
C12_M1 C13_M1 97
C12_M0 C22_M0 110
C12_M1 C22_M1 120
C13_M0 C23_M0 117
C13_M1 C23_M1 94
C20_M0 C21_M0 104
C20_M1 C21_M1 145
C20_M0 C30_M0 120
C20_M1 C30_M1 92
C21_M0 C22_M0 95
C21_M1 C22_M1 139
C21_M0 C31_M0 108
C21_M1 C31_M1 84
C22_M0 C23_M0 89
C22_M1 C23_M1 82
C22_M0 C32_M0 79
C22_M1 C32_M1 65
C23_M0 C33_M0 142
C23_M1 C33_M1 74
C30_M0 C31_M0 90
C30_M1 C31_M1 65
C31_M0 C32_M0 145
C31_M1 C32_M1 118
C32_M0 C33_M0 147
C32_M1 C33_M1 138
C11_M2 SRAM_A 747
C11_M3 SRAM_A 641
C11_M8 SRAM_A 870
C11_M5 SRAM_A 801
C12_M8 SRAM_B 599
C12_M4 SRAM_B 651
C12_M1 SRAM_B 616
C12_M6 SRAM_B 684
C21_M2 PLL 773
C21_M4 PLL 564
C21_M0 PLL 640
C21_M5 PLL 523
C22_M0 ROM 564
C22_M8 ROM 826
C22_M4 ROM 885
C22_M5 ROM 751
C01_M1 DSP_0 745
C01_M0 DSP_0 725
C01_M4 DSP_0 674
C01_M3 DSP_0 594
C02_M0 DSP_1 533
C02_M4 DSP_1 705
C02_M7 DSP_1 751
C02_M9 DSP_1 537
C31_M9 ADC 788
C31_M0 ADC 655
C31_M2 ADC 543
C31_M1 ADC 627
C32_M1 DAC 805
C32_M8 DAC 816
C32_M6 DAC 615
C32_M4 DAC 897
